INSTNM,NPT4_PUB,Year,STABBR,CITY
American Career College,,2005,CA,Los Angeles
Associated Technical College,,2005,CA,Los Angeles
Bryan College,,2005,CA,Los Angeles
California State University-Los Angeles,,2005,CA,Los Angeles
University of California-Los Angeles,,2005,CA,Los Angeles
Charles R Drew University of Medicine and Science,,2005,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2005,CA,Los Angeles
Fashion Institute of Design & Merchandising-Los Angeles,,2005,CA,Los Angeles
Institute of Computer Technology,,2005,CA,Los Angeles
University of Judaism,,2005,CA,Los Angeles
Los Angeles Southwest College,,2005,CA,Los Angeles
Los Angeles Trade Technical College,,2005,CA,Los Angeles
Los Angeles City College,,2005,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2005,CA,Los Angeles
Loyola Marymount University,,2005,CA,Los Angeles
Marinello School of Beauty,,2005,CA,Los Angeles
Marinello School of Beauty,,2005,CA,Los Angeles
Mount St Mary's College,,2005,CA,Los Angeles
Bryman College,,2005,CA,Los Angeles
Marinello School of Beauty,,2005,CA,Los Angeles
Occidental College,,2005,CA,Los Angeles
Otis College of Art and Design,,2005,CA,Los Angeles
Pacific States University,,2005,CA,Los Angeles
Dongguk Royal University,,2005,CA,Los Angeles
Samra University of Oriental Medicine,,2005,CA,Los Angeles
Westwood College-Los Angeles,,2005,CA,Los Angeles
Southern California Institute of Architecture,,2005,CA,Los Angeles
University of Southern California,,2005,CA,Los Angeles
Southwestern University School of Law,,2005,CA,Los Angeles
United Education Institute-Los Angeles Campus,,2005,CA,Los Angeles
Universal College of Beauty Inc,,2005,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2005,CA,Los Angeles
Tri-State College of Acupuncture,,2005,NY,New York
Globe Institute of Technology,,2005,NY,New York
The Ailey School,,2005,NY,New York
American Academy of Dramatic Arts,,2005,NY,New York
American Academy McAllister Institute of Funeral Services,,2005,NY,New York
Joffrey Ballet School-American Ballet Center,,2005,NY,New York
American Musical and Dramatic Academy,,2005,NY,New York
Apex Technical School,,2005,NY,New York
Bank Street College of Education,,2005,NY,New York
Barnard College,,2005,NY,New York
Berkeley College,,2005,NY,New York
Phillips Beth Israel School of Nursing,,2005,NY,New York
Boricua College,,2005,NY,New York
Career Blazers Learning Center,,2005,NY,New York
Caliber Training Institute,,2005,NY,New York
Circle in the Square Theater School,,2005,NY,New York
Metropolitan College of New York,,2005,NY,New York
Columbia University in the City of New York,,2005,NY,New York
Cooper Union for the Advancement of Science and Art,,2005,NY,New York
Weill Cornell Medical College,,2005,NY,New York
CUNY Bernard M Baruch College,,2005,NY,New York
CUNY Borough of Manhattan Community College,,2005,NY,New York
CUNY City College,,2005,NY,New York
CUNY Graduate School and University Center,,2005,NY,New York
CUNY Hunter College,,2005,NY,New York
CUNY John Jay College Criminal Justice,,2005,NY,New York
Fashion Institute of Technology,,2005,NY,New York
French Culinary Institute,,2005,NY,New York
Gemological Institute of America-New York,,2005,NY,New York
The General Theological Seminary,,2005,NY,New York
Global Business Institute,,2005,NY,New York
Helene Fuld College of Nursing,,2005,NY,New York
Institute of Audio Research,,2005,NY,New York
Interboro Institute,,2005,NY,New York
Jewish Theological Seminary of America,,2005,NY,New York
The Juilliard School,,2005,NY,New York
Katharine Gibbs School-New York City,,2005,NY,New York
Laboratory Institute of Merchandising,,2005,NY,New York
Mandl School,,2005,NY,New York
Manhattan School of Music,,2005,NY,New York
Marymount Manhattan College,,2005,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2005,NY,New York
Merce Cunningham Studio,,2005,NY,New York
Mesivtha Tifereth Jerusalem of America,,2005,NY,New York
Mount Sinai School of Medicine,,2005,NY,New York
Neighborhood Playhouse School of the Theater,,2005,NY,New York
The New School,,2005,NY,New York
New York Institute of English and Business,,2005,NY,New York
New York Law School,,2005,NY,New York
New York University,,2005,NY,New York
New York College of Podiatric Medicine,,2005,NY,New York
New York Institute of Technology-Manhattan Campus,,2005,NY,New York
New York School of Interior Design,,2005,NY,New York
Pace University-New York,,2005,NY,New York
Professional Business College,,2005,NY,New York
Learning Institute for Beauty Sciences-Manhattan,,2005,NY,New York
New York Career Institute,,2005,NY,New York
SUNY College of Optometry,,2005,NY,New York
Swedish Institute College of Health Sciences,,2005,NY,New York
Taylor Business Institute,,2005,NY,New York
Teachers College at Columbia University,,2005,NY,New York
Technical Career Institutes,,2005,NY,New York
Touro College,,2005,NY,New York
Sanford-Brown Institute,,2005,NY,New York
Union Theological Seminary,,2005,NY,New York
School of Visual Arts,,2005,NY,New York
Wood Tobe-Coburn School,,2005,NY,New York
Yeshiva University,,2005,NY,New York
Hebrew Union College-California Branch,,2005,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion,,2005,NY,New York
The New School,,2006,NY,New York
Culinary Academy of New York,,2006,NY,New York
New York Institute of English and Business,,2006,NY,New York
New York Law School,,2006,NY,New York
New York University,,2006,NY,New York
New York College of Podiatric Medicine,,2006,NY,New York
New York Institute of Technology-Manhattan Campus,,2006,NY,New York
New York School of Interior Design,,2006,NY,New York
Pace University-New York,,2006,NY,New York
Professional Business College,,2006,NY,New York
Learning Institute for Beauty Sciences-Manhattan,,2006,NY,New York
New York Career Institute,,2006,NY,New York
SUNY College of Optometry,,2006,NY,New York
Swedish Institute College of Health Sciences,,2006,NY,New York
Teachers College at Columbia University,,2006,NY,New York
Technical Career Institutes,,2006,NY,New York
Touro College,,2006,NY,New York
Sanford-Brown Institute,,2006,NY,New York
Union Theological Seminary,,2006,NY,New York
School of Visual Arts,,2006,NY,New York
Wood Tobe-Coburn School,,2006,NY,New York
Yeshiva University,,2006,NY,New York
Hebrew Union College-California Branch,,2006,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion,,2006,NY,New York
The Art Institute of New York City,,2006,NY,New York
New York Academy of Art,,2006,NY,New York
Los Angeles ORT Technical Institute,,2006,CA,Los Angeles
Bryman College-West Los Angeles,,2006,CA,Los Angeles
Universal College of Beauty Inc,,2006,CA,Los Angeles
Dance Theatre of Harlem Inc,,2006,NY,New York
New York International Beauty School Ltd,,2006,NY,New York
Diversified Language Institute,,2006,CA,Los Angeles
DVS College,,2006,CA,Los Angeles
World Mission University,,2006,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2006,CA,Los Angeles
California Design College,,2006,CA,Los Angeles
Marian Health Careers Center,,2006,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2006,NY,New York
Manhattan School of Computer Technology,,2006,NY,New York
New York Paralegal School,,2006,NY,New York
School for Film and Television,,2006,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2006,NY,New York
Studio Jewelers,,2006,NY,New York
Virginia Sewing MacHines and School Center,,2006,CA,Los Angeles
American Barber Institute Inc,,2006,NY,New York
Chase College,,2006,CA,Los Angeles
ICDC College,,2006,CA,Los Angeles
Community Based Education Development,,2006,CA,Los Angeles
Harlem School of Technology,,2006,NY,New York
The Chubb Institute-Manhattan,,2006,NY,New York
California Healing Arts College,,2006,CA,Los Angeles
West Coast University,,2006,CA,Los Angeles
Community Enhancement Services,,2006,CA,Los Angeles
Liberty Training Institute,,2006,CA,Los Angeles
Ladera Career Paths Training Centers,,2006,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2006,CA,Los Angeles
Carsten Institute of New York,,2006,NY,New York
Palace Beauty College,,2006,CA,Los Angeles
Aveda Institute New York,,2006,NY,New York
Abram Friedman Occupational Center,,2007,CA,Los Angeles
American Academy of Dramatic Arts-West,,2007,CA,Los Angeles
American Film Institute Conservatory,,2007,CA,Los Angeles
American Intercontinental University,,2007,CA,Los Angeles
American Career College,,2007,CA,Los Angeles
Associated Technical College,,2007,CA,Los Angeles
Bryan College,,2007,CA,Los Angeles
California State University-Los Angeles,,2007,CA,Los Angeles
University of California-Los Angeles,,2007,CA,Los Angeles
Charles Drew University of Medicine and Science,,2007,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2007,CA,Los Angeles
The Fashion Institute of Design & Merchandising-Los Angeles,,2007,CA,Los Angeles
LA College International,,2007,CA,Los Angeles
American Jewish University,,2007,CA,Los Angeles
Los Angeles Southwest College,,2007,CA,Los Angeles
Los Angeles Trade Technical College,,2007,CA,Los Angeles
Los Angeles City College,,2007,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2007,CA,Los Angeles
Loyola Marymount University,,2007,CA,Los Angeles
Marinello School of Beauty,,2007,CA,Los Angeles
Marinello School of Beauty,,2007,CA,Los Angeles
Mount St Mary's College,,2007,CA,Los Angeles
Everest College-LA Wilshire,,2007,CA,Los Angeles
Marinello School of Beauty,,2007,CA,Los Angeles
Occidental College,,2007,CA,Los Angeles
Otis College of Art and Design,,2007,CA,Los Angeles
Pacific States University,,2007,CA,Los Angeles
Dongguk Royal University,,2007,CA,Los Angeles
Samra University of Oriental Medicine,,2007,CA,Los Angeles
Westwood College-Los Angeles,,2007,CA,Los Angeles
Southern California Institute of Architecture,,2007,CA,Los Angeles
University of Southern California,,2007,CA,Los Angeles
Southwestern Law School,,2007,CA,Los Angeles
Universal College of Beauty Inc,,2007,CA,Los Angeles
Maxine Waters Employment Preparation Center,,2007,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2007,CA,Los Angeles
Tri-State College of Acupuncture,,2007,NY,New York
The Art Institute of New York City,,2005,NY,New York
New York Academy of Art,,2005,NY,New York
Los Angeles ORT Technical Institute,,2005,CA,Los Angeles
Bryman College-West Los Angeles,,2005,CA,Los Angeles
Universal College of Beauty Inc,,2005,CA,Los Angeles
Dance Theatre of Harlem Inc,,2005,NY,New York
New York International Beauty School Ltd,,2005,NY,New York
DVS College,,2005,CA,Los Angeles
Escuelas Leicester,,2005,CA,Los Angeles
World Mission University,,2005,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2005,CA,Los Angeles
California Design College,,2005,CA,Los Angeles
Marian Health Careers Center,,2005,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2005,NY,New York
Manhattan School of Computer Technology,,2005,NY,New York
New York Paralegal School,,2005,NY,New York
School for Film and Television,,2005,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2005,NY,New York
Studio Jewelers,,2005,NY,New York
Virginia Sewing MacHines and School Center,,2005,CA,Los Angeles
Maric College-Los Angeles,,2005,CA,Los Angeles
American Barber Institute Inc,,2005,NY,New York
Chase College,,2005,CA,Los Angeles
ICDC College,,2005,CA,Los Angeles
Community Based Education Development,,2005,CA,Los Angeles
Harlem School of Technology,,2005,NY,New York
The Chubb Institute-Manhattan,,2005,NY,New York
California Healing Arts College,,2005,CA,Los Angeles
West Coast University,,2005,CA,Los Angeles
Community Enhancement Services,,2005,CA,Los Angeles
Liberty Training Institute,,2005,CA,Los Angeles
Training Solutions Inc,,2005,NY,New York
Ladera Career Paths Training Centers,,2005,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2005,CA,Los Angeles
Carsten Institute of New York,,2005,NY,New York
Abram Friedman Occupational Center,,2006,CA,Los Angeles
American Academy of Dramatic Arts-West,,2006,CA,Los Angeles
American Film Institute Conservatory,,2006,CA,Los Angeles
American Intercontinental University,,2006,CA,Los Angeles
American Career College,,2006,CA,Los Angeles
Associated Technical College,,2006,CA,Los Angeles
Bryan College,,2006,CA,Los Angeles
California State University-Los Angeles,,2006,CA,Los Angeles
University of California-Los Angeles,,2006,CA,Los Angeles
Charles R Drew University of Medicine and Science,,2006,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2006,CA,Los Angeles
