INSTNM,CITY,STABBR,UGDS,PCTPELL
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,5032,0.9296
Benedict College,Columbia,SC,3137,0.9293
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4481,0.9291
United Education Institute-Huntington Park Campus,Huntington Park,CA,4370,0.9289
Brookline College-Phoenix,Phoenix,AZ,1636,0.9285
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2214,0.9282
Universidad Adventista de las Antillas,Mayaguez,PR,1111,0.9277
Mississippi Valley State University,Itta Bena,MS,2350,0.9276
Mech-Tech College LLC,Caguas,PR,3279,0.9276
United Education Institute,Jacksonville,FL,1013,0.9273
Summit Career College,Colton,CA,1893,0.9268
All-State Career School-Baltimore,Baltimore,MD,1227,0.9262
Centro de Estudios Multidisciplinarios-San Juan,San Juan,PR,1516,0.9261
Drury University,Springfield,MO,4001,0.9259
ATI Career Training Center,Dallas,TX,1172,0.9254
Lane College,Jackson,TN,1554,0.9246
Huertas Junior College,Caguas,PR,1843,0.924
San Joaquin Valley College-Fresno,Fresno,CA,1162,0.9236
United Education Institute,Jacksonville,FL,1793,0.9235
Inter American University of Puerto Rico-Guayama,Guayama,PR,2334,0.9235
Huertas College,Caguas,PR,1255,0.9235
National University College-Arecibo,Arecibo,PR,1781,0.9234
Mech-Tech College LLC,Caguas,PR,3554,0.9231
Career Point College,San Antonio,TX,1802,0.9231
Brooks Institute,Santa Barbara,CA,1184,0.9228
Heald College-Fresno,Fresno,CA,1981,0.9227
Inter American University of Puerto Rico-Ponce,Mercedita,PR,6046,0.9225
Livingstone College,Salisbury,NC,1156,0.9224
Universidad Del Turabo,Gurabo,PR,13766,0.9224
National University College-Bayamon,Bayamón,PR,2988,0.9223
Atenas College,Manati,PR,1269,0.9223
National College of Business and Technology-Bayamon,Bayamon,PR,2443,0.9215
College of Micronesia-FSM,Pohnpei,FM,2915,0.9215
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,2005,0.9215
Atlantic University College,Guaynabo,PR,1370,0.9209
Uta Mesivta of Kiryas Joel,Monroe,NY,1315,0.9205
National University College-Bayamon,Bayamon,PR,3637,0.9202
Compu-Med Vocational Careers Corp,Hialeah,FL,1226,0.9199
Southwestern College,Cincinnati,OH,1127,0.9196
Coahoma Community College,Clarksdale,MS,1959,0.9193
ASA Institute of Business and Computer Technology,Brooklyn,NY,5039,0.919
United Education Institute,Jacksonville,FL,1441,0.9184
D'Mart Institute,Barranquitas,PR,1542,0.9184
Universidad Del Turabo,Gurabo,PR,14333,0.9181
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5986,0.918
United Education Institute-Huntington Park Campus,Huntington Park,CA,9540,0.9176
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4892,0.9173
Huertas Junior College,Caguas,PR,1487,0.9171
Boricua College,New York,NY,1205,0.9164
Mech-Tech College LLC,Caguas,PR,2496,0.9162
Bayamon Central University,Bayamon,PR,1814,0.9155
San Joaquin Valley College-Online,Visalia,CA,1037,0.9154
Career Colleges of America,South Gate,CA,1456,0.9149
National College of Business and Technology-Bayamon,Bayamón,PR,2692,0.914
National University College-Rio Grande,Rio Grande,PR,1613,0.914
National College of Business and Technology-Rio Grande,Rio Grande,PR,1505,0.9138
Caribbean University-Bayamon,Bayamon,PR,1687,0.9133
Everest University-South Orlando,Orlando,FL,33635,0.9132
ATI Technical Training Center,Dallas,TX,1005,0.9129
Universidad Del Este,Carolina,PR,12630,0.9123
Lane College,Jackson,TN,1512,0.9121
Inter American University of Puerto Rico-Barranquitas,Barranquitas,PR,2106,0.912
Point University,East Point,GA,1245,0.912
Lane College,Jackson,TN,2002,0.9113
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2287,0.9111
Columbia Centro Universitario-Caguas,Caguas,PR,1486,0.911
Huertas Junior College,Caguas,PR,1777,0.9106
Star Career Academy-Philadelphia,Philadelphia,PA,1129,0.9105
Universidad Del Turabo,Gurabo,PR,13105,0.91
Aveda Institute-Saint Petersburg,Saint Petersburg,FL,1007,0.9097
Uta Mesivta of Kiryas Joel,Monroe,NY,1561,0.9093
Bryan College-Los Angeles,Los Angeles,CA,1525,0.9091
National University College-Rio Grande,Rio Grande,PR,1476,0.9091
Florida Technical College,Orlando,FL,2966,0.909
National College of Business and Technology-Rio Grande,Rio Grande,PR,1567,0.9083
Brown Mackie College-Miami,Miami,FL,1058,0.9083
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5512,0.9078
Centura College,Virginia Beach,VA,1277,0.9069
Everest College-Phoenix,Phoenix,AZ,2254,0.9069
Tri-County Technical College,Pendleton,SC,4999,0.905
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4267,0.9049
Heald College-Fresno,Fresno,CA,2109,0.9047
Lane College,Jackson,TN,1981,0.9043
Inter American University of Puerto Rico-Guayama,Guayama,PR,2229,0.9043
Michigan Jewish Institute,W Bloomfield,MI,1331,0.9041
Lane College,Jackson,TN,2146,0.9036
Heald College-Salinas,Salinas,CA,1261,0.9034
Caribbean University-Bayamon,Bayamon,PR,1762,0.9033
National University College-Bayamon,Bayamon,PR,2792,0.9027
Wright Career College,Overland Park,KS,1336,0.9021
Inter American University of Puerto Rico-Guayama,Guayama,PR,2289,0.902
National College-Lexington,Lexington,KY,1345,0.9019
Universidad Metropolitana,Cupey,PR,10523,0.9015
Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,1373,0.901
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5680,0.9
Florida National College,Hialeah,FL,2811,0.9
Florida National College,Hialeah,FL,2369,0.8999
Heald College-Modesto,Salida,CA,1015,0.8999
Drake College of Business-Elizabeth,Elizabeth,NJ,1227,0.8998
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4686,0.8998
Liceo de Arte y Tecnologia,Hato Rey,PR,1114,0.8988
Heald College-Salinas,Salinas,CA,1490,0.8986
Florida Memorial University,Miami Gardens,FL,1517,0.8975
Bryant and Stratton College-Milwaukee,Milwaukee,WI,1234,0.8973
Albany Technical College,Albany,GA,3827,0.8972
Sanford-Brown Institute-New York,New York,NY,1639,0.8966
Everest Institute-Rochester,Rochester,NY,1358,0.8962
Atenas College,Manati,PR,1469,0.8962
National University College-Rio Grande,Rio Grande,PR,1552,0.896
Upper Iowa University,Fayette,IA,5056,0.896
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1143,0.896
Heald College-Fresno,Fresno,CA,2077,0.8958
Atlantic University College,Guaynabo,PR,1349,0.8956
United Talmudical Seminary,Brooklyn,NY,1814,0.8949
Victory University,Memphis,TN,1968,0.8947
College of Micronesia-FSM,Pohnpei,FM,2446,0.8947
Sanford-Brown College-West Allis,West Allis,WI,1377,0.8942
Charles A. Jones Career and Education Center,Sacramento,CA,1488,0.8938
Miles College,Fairfield,AL,1786,0.8936
Universidad Del Turabo,Gurabo,PR,13098,0.8933
Atlantic College,Guaynabo,PR,1251,0.893
College of Micronesia-FSM,Pohnpei,FM,2744,0.893
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4542,0.8929
Morgan State University,Baltimore,MD,6567,0.8923
Sanford-Brown Institute-New York,New York,NY,2525,0.8912
Livingstone College,Salisbury,NC,1140,0.891
Caribbean University-Ponce,Ponce,PR,1222,0.8908
Uta Mesivta of Kiryas Joel,Monroe,NY,1232,0.8906
Universidad Del Este,Carolina,PR,12062,0.8905
Charles A. Jones Career and Education Center,Sacramento,CA,1572,0.8903
Charles A Jones Career and Education Center,Sacramento,CA,1032,0.8903
Brown Mackie College-Indianapolis,Indianapolis,IN,1308,0.8899
Colegio Universitario de San Juan,San Juan,PR,1565,0.8899
American Career College-Los Angeles,Los Angeles,CA,1693,0.8898
Coahoma Community College,Clarksdale,MS,2565,0.8886
Career Technical College-Monroe,Monroe,LA,1036,0.8886
Heald College-Fresno,Fresno,CA,1791,0.8886
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5668,0.8884
National University College-Arecibo,Arecibo,PR,1646,0.8884
Uta Mesivta of Kiryas Joel,Monroe,NY,1510,0.8881
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4365,0.8879
Universidad Metropolitana,Cupey,PR,10316,0.8874
National College-Lexington,Lexington,KY,1848,0.8873
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,4454,0.8871
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2197,0.8871
Bayamon Central University,Bayamón,PR,1980,0.8871
United Talmudical Seminary,Brooklyn,NY,1589,0.887
American Auto Institute,Gardena,CA,1444,0.8868
National University College-Ponce,Ponce,PR,1117,0.8865
Caribbean University-Bayamon,Bayamon,PR,2046,0.8864
National College of Business and Technology-Nashville,Nashville,TN,1223,0.8864
Instituto de Banca y Comercio Inc,Guaynabo,PR,16339,0.8859
Brown Mackie College-Cincinnati,Cincinnati,OH,1320,0.8856
San Joaquin Valley College-Visalia,Visalia,CA,1894,0.8855
Caribbean University-Ponce,Ponce,PR,1291,0.8848
Liceo de Arte y Tecnologia,San Juan,PR,1106,0.8848
Everest University-Brandon,Tampa,FL,8182,0.8837
Brown Mackie College-Atlanta,Atlanta,GA,1053,0.8833
ASA Institute of Business and Computer Technology,Brooklyn,NY,3583,0.8832
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4224,0.8832
Pittsburgh Technical Institute,Oakdale,PA,1938,0.8829
Pontifical Catholic University of Puerto Rico,Ponce,PR,6073,0.8828
San Joaquin Valley College-Visalia,Visalia,CA,1616,0.8828
Brown Mackie College-Louisville,Louisville,KY,1999,0.8821
Pontifical Catholic University of Puerto Rico,Ponce,PR,6235,0.8819
Inter American University of Puerto Rico-Fajardo,Fajardo,PR,2223,0.8812
Hudson County Community College,Jersey City,NJ,9056,0.8811
Bladen Community College,Dublin,NC,1322,0.8809
Hinds Community College,Raymond,MS,12479,0.8806
Union Institute & University,Cincinnati,OH,1101,0.8803
Everest College-Dallas,Dallas,TX,1252,0.8802
Brown Mackie College-Indianapolis,Indianapolis,IN,1526,0.8801
American Auto Institute,Gardena,CA,2328,0.8801
Medix College,Smyrna,GA,1020,0.8791
United Talmudical Seminary,Brooklyn,NY,1438,0.8789
Lane College,Jackson,TN,2222,0.8788
Brown Mackie College-Akron,Akron,OH,1022,0.8785
Mech-Tech College LLC,Caguas,PR,3659,0.8784
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4166,0.8783
Brown Mackie College-Fort Wayne,Fort Wayne,IN,1303,0.8781
American University of Puerto Rico,Manati,PR,1103,0.8778
Uta Mesivta of Kiryas Joel,Monroe,NY,1161,0.8777
Benedict College,Columbia,SC,2917,0.8774
