INSTNM,CITY,STABBR,UGDS,PCTPELL
Texas State Technical College Harlingen,Harlingen,TX,3040,0.5523
Goodwin College,East Hartford,CT,3161,0.552
Trocaire College,Buffalo,NY,1406,0.552
Rasmussen College-Minnesota,St. Cloud,MN,4742,0.5519
Cleveland State Community College,Cleveland,TN,3187,0.5518
South Arkansas Community College,El Dorado,AR,1402,0.5518
The Art Institute of Washington,Arlington,VA,1485,0.5517
City Colleges of Chicago-Kennedy-King College,Chicago,IL,4472,0.5515
Morgan State University,Baltimore,MD,6672,0.5515
College of Mount Saint Vincent,Bronx,NY,1635,0.5515
Rogue Community College,Grants Pass,OR,4596,0.5515
Coker College,Hartsville,SC,1131,0.5515
Alabama Southern Community College,Monroeville,AL,1411,0.5514
DeVry University-Colorado,Westminster,CO,1040,0.5514
Laredo Community College,Laredo,TX,9343,0.5512
NASCAR Technical Institute,Mooresville,NC,1788,0.551
Texas Careers,San Antonio,TX,1058,0.5508
Everest Institute-Decatur,Decatur,GA,1246,0.5508
College of Western Idaho,Nampa,ID,8241,0.5508
North Carolina Central University,Durham,NC,5885,0.5507
Dyersburg State Community College,Dyersburg,TN,2723,0.5507
University of Maryland Eastern Shore,Princess Anne,MD,3421,0.5506
South University-The Art Institute of Dallas,Dallas,TX,1889,0.5502
Georgia Military College-Milledgeville Campus,Milledgeville,GA,1605,0.5499
East Central Community College,Decatur,MS,2641,0.5498
Western Piedmont Community College,Morganton,NC,2837,0.5497
University of Dubuque,Dubuque,IA,1687,0.5495
Imperial Valley College,Imperial,CA,7406,0.5494
Universal Technical Institute of Texas Inc,Houston,TX,2334,0.5494
Point University,East Point,GA,1511,0.5494
Johnson C Smith University,Charlotte,NC,1466,0.5493
Kent State University at East Liverpool,East Liverpool,OH,1529,0.5493
Colorado Technical University-Greenwood Village,Aurora,CO,1014,0.5492
Mitchell Technical Institute,Mitchell,SD,1024,0.5491
Hocking College,Nelsonville,OH,4339,0.5491
Trident Technical College,Charleston,SC,15791,0.5488
Barton College,Wilson,NC,1098,0.5488
Texas School of Business Inc,Houston,TX,1206,0.5487
Kent State University at Ashtabula,Ashtabula,OH,2375,0.5487
CUNY Lehman College,Bronx,NY,8948,0.5487
Ivy Tech Community College,Indianapolis,IN,87017,0.5487
Coastal Bend College,Beeville,TX,3104,0.5486
North Carolina Central University,Durham,NC,5497,0.5485
Pulaski Technical College,North Little Rock,AR,10073,0.5485
Lincoln University,Jefferson City,MO,2692,0.5485
Fayetteville State University,Fayetteville,NC,5179,0.5483
Roberts Wesleyan College,Rochester,NY,1357,0.5483
Aiken Technical College,Graniteville,SC,2976,0.5483
Tri-County Community College,Murphy,NC,1004,0.5483
Southern University at Shreveport,Shreveport,LA,2422,0.5482
Central Alabama Community College,Alexander City,AL,2341,0.5481
Georgia Military College-Warner Robins Campus,Warner Robins,GA,1314,0.5481
Albany Technical College,Albany,GA,2699,0.548
Peirce College,Philadelphia,PA,2254,0.5479
Yakima Valley Community College,Yakima,WA,2587,0.5479
Vaughn College of Aeronautics and Technology,Flushing,NY,1287,0.5478
East Central University,Ada,OK,3879,0.5478
Davidson County Community College,Thomasville,NC,3832,0.5477
West Virginia Northern Community College,Wheeling,WV,2758,0.5476
Meridian Community College,Meridian,MS,3601,0.5476
Southwestern Michigan College,Dowagiac,MI,2698,0.5475
Georgia Military College-Augusta Campus,Martinez,GA,1380,0.5474
Georgia Military College-Valdosta Campus,Valdosta,GA,1291,0.5474
DeVry University-Missouri,Kansas City,MO,1652,0.5473
Walden University,Minneapolis,MN,8559,0.5473
Georgia Military College-Atlanta Campus,Fairburn,GA,1032,0.5473
Eastern Gateway Community College,Steubenville,OH,2365,0.5473
Southern Arkansas University Main Campus,Magnolia,AR,2600,0.5471
Southern State Community College,Hillsboro,OH,3107,0.5468
Mineral Area College,Park Hills,MO,3422,0.5467
Baker College of Auburn Hills,Auburn Hills,MI,4112,0.5465
Delaware State University,Dover,DE,3636,0.5465
Jefferson Davis Community College,Brewton,AL,1257,0.5464
University of California-Riverside,Riverside,CA,18516,0.5463
Robert Morris University Illinois,Chicago,IL,4137,0.5462
Jones County Junior College,Ellisville,MS,4778,0.5462
Baker College Center for Graduate Studies,Flint,MI,5170,0.5461
Universal Technical Institute-Motorcycle Mechanics Institute Division,Phoenix,AZ,2842,0.5459
University of Mobile,Mobile,AL,1534,0.5459
Columbus State Community College,Columbus,OH,13580,0.5458
University of Maryland Eastern Shore,Princess Anne,MD,3765,0.5458
University of Phoenix-Southern California Campus,Costa Mesa,CA,8302,0.5458
The Art Institute of California-Inland Empire,San Bernardino,CA,1323,0.5457
ECPI College of Technology,Virginia Beach,VA,12651,0.5457
Governors State University,University Park,IL,2925,0.5456
Everest Institute-Gahanna,Gahanna,OH,1060,0.5456
Texas Wesleyan University,Fort Worth,TX,1718,0.5456
Mount Olive College,Mount Olive,NC,3577,0.5456
The Art Institute of California-Hollywood,North Hollywood,CA,1256,0.5454
Universal Technical Institute-Motorcycle Mechanics Institute Division,Phoenix,AZ,2594,0.5454
Carrington College California-Sacramento,Sacramento,CA,1392,0.5453
West Coast University,Los Angeles,CA,1113,0.5451
Mott Community College,Flint,MI,9073,0.5451
Pearl River Community College,Poplarville,MS,5731,0.545
Lincoln College of Technology-Columbia,Columbia,MD,1095,0.545
Northeast Texas Community College,Mount Pleasant,TX,2563,0.545
Cossatot Community College of the University of Arkansas,De Queen,AR,1047,0.5449
Youngstown State University,Youngstown,OH,12978,0.5449
The Art Institutes International-Minnesota,Minneapolis,MN,1161,0.5449
Cumberland County College,Vineland,NJ,3814,0.5449
Southwest Institute of Healing Arts,Tempe,AZ,1309,0.5447
Bethel University,McKenzie,TN,2724,0.5447
CUNY John Jay College of Criminal Justice,New York,NY,12838,0.5446
New Mexico State University-Dona Ana,Las Cruces,NM,6677,0.5446
Hudson County Community College,Jersey City,NJ,8437,0.5445
University of Puerto Rico-Rio Piedras,Rio Piedras,PR,14065,0.5444
New Jersey City University,Jersey City,NJ,6582,0.5443
Northeast State Community College,Blountville,TN,5595,0.5443
Meridian Community College,Meridian,MS,3979,0.5442
Northeast State Community College,Blountville,TN,5811,0.5442
ITT Technical Institute-Cordova,Cordova,TN,1009,0.5441
The Illinois Institute of Art-Chicago,Chicago,IL,3039,0.544
Ohio University-Chillicothe Campus,Chillicothe,OH,2219,0.5439
Mars Hill College,Mars Hill,NC,1250,0.5438
DeVry University-Georgia,Decatur,GA,3711,0.5437
Baker College of Jackson,Jackson,MI,1755,0.5437
Trocaire College,Buffalo,NY,1420,0.5436
Sanford-Brown Institute-New York,New York,NY,1479,0.5435
University of Guam,Mangilao,GU,3364,0.5434
Athens Technical College,Athens,GA,5114,0.5433
Goodwin College,East Hartford,CT,3269,0.5433
Pennsylvania Highlands Community College,Johnstown,PA,1676,0.5431
AI Miami International University of Art and Design,Miami,FL,3950,0.5431
Haywood Community College,Clyde,NC,1923,0.5431
College of Central Florida,Ocala,FL,7113,0.5431
University of Phoenix-Charlotte Campus,Charlotte,NC,1069,0.543
Dine College,Tsaile,AZ,1689,0.5429
University of Phoenix-Atlanta Campus,Sandy Springs,GA,1478,0.5428
The University of Texas at El Paso,El Paso,TX,18051,0.5427
Texas A & M University-Kingsville,Kingsville,TX,9400,0.5427
University of Baltimore,Baltimore,MD,3207,0.5426
Midway College,Midway,KY,1625,0.5426
Johnson & Wales University-Florida,North Miami,FL,2065,0.5425
The Art Institute of Austin,Austin,TX,1555,0.5425
Coker College,Hartsville,SC,1139,0.5423
Rowan-Cabarrus Community College,Salisbury,NC,6557,0.5422
Louisiana College,Pineville,LA,1140,0.5422
Gwinnett Technical College,Lawrenceville,GA,6918,0.5422
Kent State University at Stark,Canton,OH,4651,0.542
Strayer University-South Carolina,Greenville,SC,2049,0.5419
Central Maine Community College,Auburn,ME,2485,0.5419
Alabama A & M University,Normal,AL,4483,0.5418
North Central State College,Mansfield,OH,2946,0.5417
University of Arkansas Community College-Batesville,Batesville,AR,1336,0.5416
Touro College,New York,NY,8222,0.5415
Montana State University-Northern,Havre,MT,1192,0.5414
CUNY John Jay College of Criminal Justice,New York,NY,12437,0.5413
Bay Path College,Longmeadow,MA,1556,0.5413
Northwest-Shoals Community College,Muscle Shoals,AL,3231,0.5413
Clark Atlanta University,Atlanta,GA,3202,0.5411
The Art Institute of Washington,Arlington,VA,2092,0.541
Lincoln University,Jefferson City,MO,2268,0.541
George C Wallace State Community College-Hanceville,Hanceville,AL,5302,0.5409
Peirce College,Philadelphia,PA,1754,0.5409
Youngstown State University,Youngstown,OH,12209,0.5407
California State University-Fresno,Fresno,CA,19911,0.5407
The Art Institute of Portland,Portland,OR,1542,0.5406
Baker College Center for Graduate Studies,Flint,MI,4449,0.5406
The Art Institute of Charlotte,Charlotte,NC,1118,0.5405
South Texas Vocational Technical Institute-McAllen,McAllen,TX,1444,0.5404
Delaware State University,Dover,DE,3744,0.5403
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,4024,0.5403
Piedmont College,Demorest,GA,1294,0.5403
Baker College of Allen Park,Allen Park,MI,3334,0.5401
Minnesota School of Business-Richfield,Richfield,MN,1070,0.5401
CUNY York College,Jamaica,NY,7361,0.5399
Saint Louis Community College-Forest Park,Saint Louis,MO,8129,0.5398
Montana State University-Northern,Havre,MT,1184,0.5398
University of Phoenix-South Florida Campus,Plantation,FL,1417,0.5398
Otero Junior College,La Junta,CO,1112,0.5397
New Mexico Highlands University,Las Vegas,NM,2032,0.5396
University of Puerto Rico-Carolina,Carolina,PR,4292,0.5396
California State University-Bakersfield,Bakersfield,CA,6630,0.5396
Sullivan University,Louisville,KY,4953,0.5396
Jones County Junior College,Ellisville,MS,4259,0.5396
Texas A & M University-Kingsville,Kingsville,TX,5538,0.5395
East Central University,Ada,OK,3530,0.5394
Capital Community College,Hartford,CT,3732,0.5394
Southern Nazarene University,Bethany,OK,1654,0.5393
Greenville Technical College,Greenville,SC,12698,0.5392
Gordon State College,Barnesville,GA,4031,0.5392
New River Community and Technical College,Beckley,WV,2214,0.5391
Miami University-Middletown,Middletown,OH,1778,0.5391
Capital Community College,Hartford,CT,3942,0.539
University of Arkansas Community College-Batesville,Batesville,AR,1530,0.5389
Southern University at Shreveport,Shreveport,LA,3014,0.5389
Belhaven University,Jackson,MS,2298,0.5388
Olivet College,Olivet,MI,1077,0.5387
Henderson State University,Arkadelphia,AR,3354,0.5386
Gordon College,Barnesville,GA,4963,0.5384
NASCAR Technical Institute,Mooresville,NC,1527,0.5384
Austin Peay State University,Clarksville,TN,9271,0.5384
Acadiana Technical College-Lafayette Campus,Lafayette,LA,2493,0.5383
South University-Savannah,Savannah,GA,11678,0.5382
Orangeburg Calhoun Technical College,Orangeburg,SC,2745,0.5382
University of North Carolina at Pembroke,Pembroke,NC,5310,0.5382
Southwest Institute of Healing Arts,Tempe,AZ,1537,0.5381
Chattahoochee Technical College,Marietta,GA,11233,0.5381
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,3603,0.538
Kent State University at Stark,Canton,OH,4680,0.538
Nicolet Area Technical College,Rhinelander,WI,1186,0.5379
Jefferson Davis Community College,Brewton,AL,1106,0.5378
William Carey University,Hattiesburg,MS,2090,0.5378
Globe University-Woodbury,Woodbury,MN,1369,0.5378
Southwest Mississippi Community College,Summit,MS,1581,0.5377
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,4061,0.5377
The Art Institute of Austin,Austin,TX,1694,0.5377
Southwest Tennessee Community College,Memphis,TN,12416,0.5376
Henderson State University,Arkadelphia,AR,3365,0.5375
University of Phoenix-Bay Area Campus,San Jose,CA,1659,0.5375
Baker College of Muskegon,Muskegon,MI,6090,0.5374
Long Island University-Brooklyn Campus,Brooklyn,NY,4655,0.5374
Limestone College,Gaffney,SC,3228,0.5374
Trocaire College,Buffalo,NY,1056,0.5372
Saint Thomas University,Miami Gardens,FL,1085,0.5371
James A Rhodes State College,Lima,OH,3923,0.537
Midlands Technical College,West Columbia,SC,11583,0.537
Passaic County Community College,Paterson,NJ,9257,0.5369
Southern Nazarene University,Bethany,OK,1694,0.5369
Kentucky State University,Frankfort,KY,2439,0.5368
Nicolet Area Technical College,Rhinelander,WI,1123,0.5368
Augusta Technical College,Augusta,GA,4501,0.5367
Baker College of Port Huron,Port Huron,MI,1944,0.5367
University of Guam,Mangilao,GU,3488,0.5366
Ozarka College,Melbourne,AR,1272,0.5364
Eastern Maine Community College,Bangor,ME,2046,0.5364
Trocaire College,Buffalo,NY,1384,0.5364
Savannah Technical College,Savannah,GA,4902,0.5363
Springfield Technical Community College,Springfield,MA,6537,0.5363
Middle Georgia College,Cochran,GA,3262,0.5362
Baltimore City Community College,Baltimore,MD,4986,0.5362
Sullivan County Community College,Loch Sheldrake,NY,1282,0.5362
Westwood College-Anaheim,Anaheim,CA,1249,0.5359
DeVry University-Arizona,Phoenix,AZ,2006,0.5359
Mineral Area College,Park Hills,MO,3744,0.5357
Tuskegee University,Tuskegee,AL,2475,0.5356
Olivet College,Olivet,MI,1095,0.5355
Le Cordon Bleu College of Culinary Arts-Scottsdale,Scottsdale,AZ,1796,0.5355
Altamaha Technical College,Jesup,GA,1301,0.5355
Mid-South Community College,West Memphis,AR,1431,0.5355
University of Phoenix-Southern California Campus,Costa Mesa,CA,9204,0.5355
Virginia State University,Petersburg,VA,4775,0.5353
Temple College,Temple,TX,5094,0.5353
University of Phoenix-Bay Area Campus,San Jose,CA,1374,0.5353
Barry University,Miami,FL,4551,0.5351
Potomac State College of West Virginia University,Keyser,WV,1378,0.5351
West Virginia University at Parkersburg,Parkersburg,WV,3356,0.535
Washington Adventist University,Takoma Park,MD,1137,0.5349
The Art Institutes International-Minnesota,Minneapolis,MN,1437,0.5349
University of North Carolina at Pembroke,Pembroke,NC,5184,0.5349
Virginia Union University,Richmond,VA,1123,0.5348
Berkeley College,West Paterson,NJ,3690,0.5348
Guam Community College,Mangilao,GU,1898,0.5348
The Art Institute of California-Los Angeles,Santa Monica,CA,2311,0.5348
Ferrum College,Ferrum,VA,1474,0.5347
York Technical College,Rock Hill,SC,4518,0.5346
University of Phoenix-Southern California Campus,Costa Mesa,CA,8991,0.5344
Central Ohio Technical College,Newark,OH,4231,0.5343
The Art Institute of Tennessee-Nashville,Nashville,TN,1003,0.5343
Baker College of Owosso,Owosso,MI,3403,0.5342
Southwestern Oregon Community College,Coos Bay,OR,1633,0.5342
Porterville College,Porterville,CA,3445,0.5341
Lanier Technical College,Oakwood,GA,3227,0.5341
Bethel College-Mishawaka,Mishawaka,IN,1826,0.534
Chattahoochee Technical College,Marietta,GA,9935,0.5339
Bloomfield College,Bloomfield,NJ,2100,0.5338
Carl Albert State College,Poteau,OK,2506,0.5338
CUNY York College,Jamaica,NY,7598,0.5337
Trident Technical College,Charleston,SC,15747,0.5337
Computer Systems Institute,Skokie,IL,1347,0.5336
Central Pennsylvania College,Summerdale,PA,1091,0.5335
American International College,Springfield,MA,1492,0.5335
Elizabethtown Community and Technical College,Elizabethtown,KY,6224,0.5335
North Carolina Wesleyan College,Rocky Mount,NC,1449,0.5333
Austin Peay State University,Clarksville,TN,9475,0.5333
Snead State Community College,Boaz,AL,2170,0.5332
Sanford-Brown Institute,Trevose,PA,1396,0.5329
University of Phoenix-Louisiana Campus,Metairie,LA,1518,0.5329
Chowan University,Murfreesboro,NC,1076,0.5329
Ohio State University-Lima Campus,Lima,OH,1193,0.5329
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,1267,0.5329
Southwestern Michigan College,Dowagiac,MI,2419,0.5328
Allen County Community College,Iola,KS,2952,0.5327
Alamance Community College,Graham,NC,4143,0.5326
Henry Ford Community College,Dearborn,MI,16412,0.5325
Gwinnett Technical College,Lawrenceville,GA,6478,0.5325
Georgia Gwinnett College,Lawrenceville,GA,9045,0.5323
Spalding University,Louisville,KY,1313,0.5322
Southwestern Assemblies of God University,Waxahachie,TX,1669,0.5322
Big Bend Community College,Moses Lake,WA,1313,0.5319
Piedmont College,Demorest,GA,1287,0.5318
SUNY College of Technology at Canton,Canton,NY,3628,0.5318
Le Cordon Bleu College of Culinary Arts-Scottsdale,Scottsdale,AZ,1496,0.5318
Central Maine Community College,Auburn,ME,2455,0.5317
University of Mobile,Mobile,AL,1542,0.5317
Minneapolis Community and Technical College,Minneapolis,MN,9534,0.5316
Touro College,New York,NY,7915,0.5313
Clark State Community College,Springfield,OH,4589,0.5313
The University of Montana-Western,Dillon,MT,1368,0.5311
Atlanta Metropolitan College,Atlanta,GA,2598,0.531
Our Lady of the Lake University-San Antonio,San Antonio,TX,1564,0.531
California State University-Fresno,Fresno,CA,19371,0.531
Kaplan University,Hagerstown,MD,1112,0.5309
Tuskegee University,Tuskegee,AL,2541,0.5308
The Art Institute of California-San Francisco,San Francisco,CA,1536,0.5308
Roxbury Community College,Roxbury Crossing,MA,2216,0.5308
Midlands Technical College,West Columbia,SC,11214,0.5308
Haywood Community College,Clyde,NC,1855,0.5307
Trinidad State Junior College,Trinidad,CO,1358,0.5307
Community College of Rhode Island,Warwick,RI,16944,0.5307
Georgia Gwinnett College,Lawrenceville,GA,9325,0.5307
Belmont Technical College,Saint Clairsville,OH,1638,0.5306
McDowell Technical Community College,Marion,NC,1029,0.5306
Southwestern Assemblies of God University,Waxahachie,TX,1687,0.5306
Mott Community College,Flint,MI,8349,0.5306
Nunez Community College,Chalmette,LA,1051,0.5304
Tennessee Technology Center at Nashville,Nashville,TN,1041,0.5302
Terra State Community College,Fremont,OH,2425,0.5301
Delgado Community College,New Orleans,LA,18995,0.53
Grand Canyon University,Phoenix,AZ,30890,0.53
Wilkes Community College,Wilkesboro,NC,2102,0.53
Dine College,Tsaile,AZ,1510,0.5299
Heald College-Honolulu,Honolulu,HI,1376,0.5299
James H Faulkner State Community College,Bay Minette,AL,4212,0.5298
Beaufort County Community College,Washington,NC,1587,0.5298
Arkansas State University-Mountain Home,Mountain Home,AR,1232,0.5297
Patrick Henry Community College,Martinsville,VA,2604,0.5296
Henderson State University,Arkadelphia,AR,3190,0.5296
Spalding University,Louisville,KY,1317,0.5295
Mohawk Valley Community College,Utica,NY,5849,0.5295
University of Maine at Augusta,Augusta,ME,4215,0.5293
St. Thomas University,Miami Gardens,FL,1092,0.5293
Adams State College,Alamosa,CO,2349,0.5292
Somerset Community College,Somerset,KY,6792,0.5291
Reading Area Community College,Reading,PA,4507,0.5291
Darton State College,Albany,GA,6226,0.5291
SUNY College of Technology at Alfred,Alfred,NY,3532,0.529
Wayne County Community College District,Detroit,MI,19071,0.5289
Rogue Community College,Grants Pass,OR,4761,0.5289
McLennan Community College,Waco,TX,8009,0.5289
Bay Path College,Longmeadow,MA,1454,0.5289
Coker College,Hartsville,SC,1099,0.5288
Texas Wesleyan University,Fort Worth,TX,1707,0.5288
Florida International University,Miami,FL,35004,0.5286
Everest College-Skokie,Skokie,IL,1125,0.5284
Mid Michigan Community College,Harrison,MI,4484,0.5284
Jefferson Davis Community College,Brewton,AL,1037,0.5283
Southwestern Community College,Sylva,NC,1597,0.5283
ITT Technical Institute-Owings Mills,Owings Mills,MD,1351,0.5281
Columbia College,Columbia,MO,15498,0.5281
Universidad Politecnica de Puerto Rico,Hato Rey,PR,4844,0.5279
Bethel College-Indiana,Mishawaka,IN,1733,0.5279
Pima Medical Institute-Mesa,Mesa,AZ,1536,0.5278
Gateway Community and Technical College,Florence,KY,3796,0.5278
DeVry University-Georgia,Decatur,GA,4278,0.5276
Hibbing Community College-A Technical and Community College,Hibbing,MN,1455,0.5276
CUNY City College,New York,NY,12172,0.5276
Angelina College,Lufkin,TX,5418,0.5275
ITT Technical Institute-Troy,Troy,MI,1434,0.5275
Davenport University,Grand Rapids,MI,7119,0.5275
DeVry University-New Jersey,North Brunswick,NJ,1998,0.5274
Merced College,Merced,CA,8964,0.5273
Arkansas Northeastern College,Blytheville,AR,1574,0.5272
Wilkes Community College,Wilkesboro,NC,2179,0.5272
Keuka College,Keuka Park,NY,1718,0.5271
Wilson Community College,Wilson,NC,1504,0.5271
Everest College-San Bernardino,San Bernardino,CA,1267,0.527
Big Bend Community College,Moses Lake,WA,1319,0.527
Sanford-Brown Institute,Tampa,FL,1379,0.5266
Lanier Technical College,Oakwood,GA,3151,0.5266
CUNY Medgar Evers College,Brooklyn,NY,6755,0.5265
Ohio State University-Mansfield Campus,Mansfield,OH,1252,0.5265
Universal Technical Institute of Northern California Inc,Sacramento,CA,1916,0.5265
Roxbury Community College,Roxbury Crossing,MA,2447,0.5264
ITT Technical Institute-Bessemer,Bessemer,AL,1159,0.5263
Limestone College,Gaffney,SC,3207,0.5262
Grand Canyon University,Phoenix,AZ,34643,0.5262
Southern Arkansas University Main Campus,Magnolia,AR,2676,0.5261
Lackawanna College,Scranton,PA,1372,0.526
New Mexico State University-Alamogordo,Alamogordo,NM,1379,0.526
Wyotech-Long Beach,Long Beach,CA,2051,0.5259
University of Phoenix-Las Vegas Campus,Las Vegas,NV,2019,0.5259
Porterville College,Porterville,CA,3339,0.5259
CUNY Borough of Manhattan Community College,New York,NY,20871,0.5258
Tennessee Wesleyan College,Athens,TN,1070,0.5258
Stanly Community College,Albemarle,NC,2625,0.5256
Darton College,Albany,GA,5889,0.5256
Mississippi University for Women,Columbus,MS,2202,0.5255
University of Bridgeport,Bridgeport,CT,2534,0.5254
Cleveland State Community College,Cleveland,TN,3059,0.5254
New River Community and Technical College,Beckley,WV,1534,0.5252
Miami Dade College,Miami,FL,59570,0.5251
Rasmussen College-Brooklyn Park,Brooklyn Park,MN,1217,0.525
Wesley College,Dover,DE,1386,0.525
The Art Institute of Fort Lauderdale Inc,Fort Lauderdale,FL,2817,0.5249
Arizona Western College,Yuma,AZ,6450,0.5248
Rasmussen College-St Cloud,St. Cloud,MN,1208,0.5246
North Central State College,Mansfield,OH,2484,0.5245
University of Northwestern Ohio,Lima,OH,4099,0.5245
Metropolitan Community College-Blue River,Independence,MO,2852,0.5244
Nicolet Area Technical College,Rhinelander,WI,1239,0.5244
Spartanburg Community College,Spartanburg,SC,5440,0.5242
Harcum College,Bryn Mawr,PA,1492,0.5242
University of Phoenix-Phoenix Campus,Tempe,AZ,3044,0.5242
CUNY Lehman College,Bronx,NY,8810,0.5241
Herkimer County Community College,Herkimer,NY,2874,0.5241
Briarcliffe College,Bethpage,NY,1778,0.524
Shelton State Community College,Tuscaloosa,AL,4932,0.524
Kent State University at Salem,Salem,OH,1713,0.524
South Georgia College,Douglas,GA,1880,0.5239
SUNY College of Technology at Canton,Canton,NY,3549,0.5239
West Georgia Technical College,Waco,GA,6856,0.5239
Kennebec Valley Community College,Fairfield,ME,1770,0.5239
Pierpont Community and Technical College,Fairmont,WV,2375,0.5238
Central Oregon Community College,Bend,OR,6607,0.5238
Alamance Community College,Graham,NC,3960,0.5238
Greenfield Community College,Greenfield,MA,2275,0.5237
University of Phoenix-North Florida Campus,Jacksonville,FL,1105,0.5237
Horry-Georgetown Technical College,Conway,SC,7267,0.5236
Sullivan County Community College,Loch Sheldrake,NY,1373,0.5236
Butte College,Oroville,CA,11165,0.5236
Wyotech-Fremont,Fremont,CA,1926,0.5233
Northwest-Shoals Community College,Muscle Shoals,AL,3235,0.5233
Cumberland County College,Vineland,NJ,4166,0.5232
Yakima Valley Community College,Yakima,WA,2650,0.5232
ITT Technical Institute-Earth City,Earth City,MO,1001,0.5231
CUNY Lehman College,Bronx,NY,9020,0.5231
Enterprise State Community College,Enterprise,AL,2166,0.523
Columbia College,Columbia,MO,16411,0.523
Le Cordon Bleu College of Culinary Arts-Scottsdale,Scottsdale,AZ,1548,0.5228
Mercy College of Ohio,Toledo,OH,1192,0.5228
University of Northwestern Ohio,Lima,OH,4121,0.5227
Greenville Technical College,Greenville,SC,13220,0.5225
Mohawk Valley Community College-Utica Branch,Utica,NY,6083,0.5224
Porter and Chester Institute of Stratford,Stratford,CT,2743,0.5223
Broward College,Fort Lauderdale,FL,37622,0.5223
The Art Institute of Colorado,Denver,CO,1794,0.5223
Universal Technical Institute of Texas Inc,Houston,TX,2047,0.5222
Alpena Community College,Alpena,MI,1418,0.5222
Spokane Community College,Spokane,WA,4858,0.5222
University of Phoenix-North Florida Campus,Jacksonville,FL,1028,0.5222
Dekalb Technical College,Clarkston,GA,4664,0.522
University of Maryland Eastern Shore,Princess Anne,MD,3883,0.5219
Elizabethtown Community and Technical College,Elizabethtown,KY,6604,0.5219
Dyersburg State Community College,Dyersburg,TN,2362,0.5219
Middle Georgia Technical College,Warner Robins,GA,3403,0.5218
Brenau University,Gainesville,GA,1712,0.5217
Shelton State Community College,Tuscaloosa,AL,4859,0.5217
Concorde Career College-Memphis,Memphis,TN,1313,0.5217
Patrick Henry Community College,Martinsville,VA,2325,0.5216
Morrisville State College,Morrisville,NY,3125,0.5215
Kent State University at Salem,Salem,OH,1813,0.5215
Mid-Continent University,Mayfield,KY,1634,0.5214
Bloomfield College,Bloomfield,NJ,1968,0.5214
The Art Institutes International-Minnesota,Minneapolis,MN,1804,0.5214
University of Phoenix-Dallas Campus,Dallas,TX,1241,0.5214
Baltimore City Community College,Baltimore,MD,6633,0.5213
Summit Career College,Colton,CA,1603,0.5213
Arizona Western College,Yuma,AZ,7856,0.5212
CUNY York College,Jamaica,NY,7422,0.5212
South University–Savannah Online,Savannah,GA,11447,0.5212
South Arkansas Community College,El Dorado,AR,1429,0.5211
Haywood Community College,Clyde,NC,1927,0.5211
Okefenokee Technical College,Waycross,GA,1610,0.5208
Salish Kootenai College,Pablo,MT,1058,0.5208
Ozarks Technical Community College,Springfield,MO,13562,0.5208
University of New Mexico-Taos Campus,Ranchos de Taos,NM,1049,0.5208
Wilson Community College,Wilson,NC,1538,0.5206
Newbury College-Brookline,Brookline,MA,1009,0.5206
Brenau University,Gainesville,GA,1683,0.5206
Baker College of Clinton Township,Clinton Township,MI,6413,0.5205
Buena Vista University,Storm Lake,IA,2148,0.5205
Newbury College-Brookline,Brookline,MA,1001,0.5205
North Central Missouri College,Trenton,MO,1256,0.5204
Ivy Tech Community College-Kokomo,Kokomo,IN,5119,0.5204
Lincoln College of Technology,Denver,CO,1225,0.5202
Limestone College,Gaffney,SC,3150,0.5202
Naugatuck Valley Community College,Waterbury,CT,6710,0.5201
Eastern Gateway Community College,Steubenville,OH,1991,0.5201
City Colleges of Chicago-Kennedy-King College,Chicago,IL,4520,0.52
University of Pittsburgh-Greensburg,Greensburg,PA,1677,0.52
New Mexico State University-Alamogordo,Alamogordo,NM,1581,0.5199
University of Phoenix-Albuquerque Campus,Albuquerque,NM,4191,0.5198
University of Phoenix-Puerto Rico Campus,Guaynabo,PR,1038,0.5197
Saint Peter's University,Jersey City,NJ,2369,0.5196
McCann School of Business & Technology,Pottsville,PA,2014,0.5195
ITT Technical Institute-San Dimas,San Dimas,CA,1030,0.5194
Minnesota State College-Southeast Technical,Winona,MN,2196,0.5194
Minnesota State College-Southeast Technical,Winona,MN,2061,0.5194
Kennebec Valley Community College,Fairfield,ME,1627,0.5194
CUNY New York City College of Technology,Brooklyn,NY,14503,0.5193
Northern New Mexico College,Espanola,NM,1432,0.5193
Rasmussen College-Eden Prairie,Eden Prairie,MN,1037,0.5192
Pierpont Community and Technical College,Fairmont,WV,2108,0.519
Regent University,Virginia Beach,VA,2281,0.5188
Baltimore City Community College,Baltimore,MD,6442,0.5187
Kent State University at Tuscarawas,New Philadelphia,OH,2450,0.5186
Alverno College,Milwaukee,WI,2292,0.5186
Northeast Alabama Community College,Rainsville,AL,2286,0.5185
University of Rio Grande,Rio Grande,OH,1560,0.5184
University of Arkansas Community College-Morrilton,Morrilton,AR,2369,0.5184
Imperial Valley College,Imperial,CA,6558,0.5184
Southeast Arkansas College,Pine Bluff,AR,1686,0.5183
