INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
Dartmouth College,770,,780,,Hanover
STANFORD UNIVERSITY,770,,780,,STANFORD
STANFORD UNIVERSITY,770,,780,,STANFORD
AMHERST COLLEGE,770,,780,,AMHERST
Stanford University,770,,780,,Stanford
Vanderbilt University,770,760,780,77000,Nashville
Dartmouth College,770,770,780,104900,Hanover
Dartmouth College,770,770,780,,Hanover
Columbia University in the City of New York,770,770,780,92000,New York
Dartmouth College,770,770,780,94200,Hanover
Columbia University in the City of New York,770,770,780,,New York
Dartmouth College,770,770,780,,Hanover
Dartmouth College,770,780,780,,Hanover
Stanford University,770,780,780,123400,Stanford
Rice University,760,,780,,Houston
Columbia University in the City of New York,760,,780,,New York
Brown University,760,,780,,Providence
STANFORD UNIVERSITY,760,,780,,STANFORD
Washington University in St Louis,760,,780,,Saint Louis
Washington University in St Louis,760,,780,80700,Saint Louis
RICE UNIVERSITY,760,,780,,HOUSTON
DARTMOUTH COLLEGE,760,,780,,HANOVER
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,760,,780,,NEW YORK
Columbia University in the City of New York,760,,780,,New York
Duke University,760,750,780,106700,Durham
Columbia University in the City of New York,760,750,780,104300,New York
Stanford University,760,760,780,,Stanford
Columbia University in the City of New York,760,760,780,,New York
Stanford University,760,760,780,103000,Stanford
Duke University,760,760,780,97100,Durham
Stanford University,760,760,780,,Stanford
Brown University,760,770,780,,Providence
Amherst College,760,770,780,82600,Amherst
Franklin W. Olin College of Engineering,760,770,780,,Needham
Northwestern University,760,770,780,,Evanston
University of Pennsylvania,760,770,780,,Philadelphia
Brown University,760,770,780,,Providence
Pomona College,760,780,780,,Claremont
University of Pennsylvania,760,780,780,,Philadelphia
Washington University in St Louis,750,,780,76300,Saint Louis
Duke University,750,,780,,Durham
Washington University in St Louis,750,,780,77400,Saint Louis
DUKE UNIVERSITY,750,,780,,DURHAM
Washington University in St Louis,750,,780,,Saint Louis
Franklin W. Olin College of Engineering,750,730,780,,Needham
Rice University,750,740,780,82500,Houston
Northwestern University,750,750,780,78400,Evanston
Rice University,750,750,780,,Houston
University of Pennsylvania,750,760,780,106900,Philadelphia
